token,ndocs,frequency,e,ne,eprop,freq_bins,ndocs_bins,logfreq_bins,rank,N1,N0,P1,P0,x,WOEValue,token_length,WOEAbs,flg_singleLabel,WOERanks,lengthRanks
ball,7,16,3.0,4.0,0.1875,1,0,1,2345,139,716,0.02158273381294964,0.00558659217877095,3.8633093525179856,1.351524161378173,4.0,1.351524161378173,0,5.0,3.0
focused,11,16,4.0,7.0,0.25,1,1,1,2346,139,716,0.02877697841726619,0.009776536312849162,2.9434737923946557,1.0795904458945311,7.0,1.0795904458945311,0,5.0,3.0
creditors,7,16,5.0,2.0,0.3125,1,0,1,2347,139,716,0.03597122302158273,0.002793296089385475,12.877697841726619,2.555496965704109,9.0,2.555496965704109,0,6.0,3.0
reducing,11,16,7.0,4.0,0.4375,1,1,1,2348,139,716,0.050359712230215826,0.00558659217877095,9.014388489208633,2.1988220217653764,8.0,2.1988220217653764,0,6.0,3.0
revenues,13,16,10.0,3.0,0.625,1,1,1,2349,139,716,0.07194244604316546,0.004189944134078212,17.170263788968825,2.8431790381558897,8.0,2.8431790381558897,0,6.0,3.0
monopoly,7,16,3.0,4.0,0.1875,1,0,1,2350,139,716,0.02158273381294964,0.00558659217877095,3.8633093525179856,1.351524161378173,8.0,1.351524161378173,0,5.0,3.0
boards,11,16,6.0,5.0,0.375,1,1,1,2351,139,716,0.04316546762589928,0.006983240223463687,6.181294964028778,1.8215277906239087,6.0,1.8215277906239087,0,5.0,3.0
christian,8,16,3.0,5.0,0.1875,1,0,1,2352,139,716,0.02158273381294964,0.006983240223463687,3.090647482014389,1.1283806100639633,9.0,1.1283806100639633,0,5.0,3.0
katherine,8,16,0.0,8.0,0.0,1,0,1,2353,139,716,0.0,0.0111731843575419,-Infinity,-Infinity,9.0,Infinity,1,0.0,3.0
iii,14,16,7.0,7.0,0.4375,1,1,1,2354,139,716,0.050359712230215826,0.009776536312849162,5.151079136690647,1.6392062338299538,3.0,1.6392062338299538,0,5.0,2.0
guy,11,16,3.0,8.0,0.1875,1,1,1,2355,139,716,0.02158273381294964,0.0111731843575419,1.9316546762589928,0.6583769808182276,3.0,0.6583769808182276,0,4.0,2.0
allegations,9,16,8.0,1.0,0.5,1,0,1,2356,139,716,0.05755395683453238,0.0013966480446927375,41.20863309352518,3.7186477755097895,11.0,3.7186477755097895,0,6.0,4.0
kishkill,6,16,0.0,6.0,0.0,1,0,1,2357,139,716,0.0,0.008379888268156424,-Infinity,-Infinity,8.0,Infinity,1,0.0,3.0
opuc,2,16,0.0,2.0,0.0,1,0,1,2358,139,716,0.0,0.002793296089385475,-Infinity,-Infinity,4.0,Infinity,1,0.0,3.0
carroll,12,16,3.0,9.0,0.1875,1,1,1,2359,139,716,0.02158273381294964,0.012569832402234637,1.7170263788968825,0.5405939451618442,7.0,0.5405939451618442,0,4.0,3.0
recommended,14,16,6.0,8.0,0.375,1,1,1,2360,139,716,0.04316546762589928,0.0111731843575419,3.8633093525179856,1.351524161378173,11.0,1.351524161378173,0,5.0,4.0
led,12,16,5.0,7.0,0.3125,1,1,1,2361,139,716,0.03597122302158273,0.009776536312849162,3.6793422404933196,1.3027339972087408,3.0,1.3027339972087408,0,5.0,2.0
claudia,16,16,0.0,16.0,0.0,1,1,1,2362,139,716,0.0,0.0223463687150838,-Infinity,-Infinity,7.0,Infinity,1,0.0,3.0
influence,15,16,9.0,6.0,0.5625,1,1,1,2363,139,716,0.06474820143884892,0.008379888268156424,7.726618705035971,2.0446713419381184,9.0,2.0446713419381184,0,6.0,3.0
margaret,9,16,2.0,7.0,0.125,1,0,1,2364,139,716,0.014388489208633094,0.009776536312849162,1.4717368961973278,0.38644326533458584,8.0,0.38644326533458584,0,4.0,3.0
penalties,13,16,10.0,3.0,0.625,1,1,1,2365,139,716,0.07194244604316546,0.004189944134078212,17.170263788968825,2.8431790381558897,9.0,2.8431790381558897,0,6.0,3.0
forecast,11,16,7.0,4.0,0.4375,1,1,1,2366,139,716,0.050359712230215826,0.00558659217877095,9.014388489208633,2.1988220217653764,8.0,2.1988220217653764,0,6.0,3.0
majority,12,16,8.0,4.0,0.5,1,1,1,2367,139,716,0.05755395683453238,0.00558659217877095,10.302158273381295,2.332353414389899,8.0,2.332353414389899,0,6.0,3.0
british,10,16,3.0,7.0,0.1875,1,1,1,2368,139,716,0.02158273381294964,0.009776536312849162,2.2076053442959918,0.7919083734427502,7.0,0.7919083734427502,0,5.0,3.0
nevada,8,16,4.0,4.0,0.25,1,0,1,2369,139,716,0.02877697841726619,0.00558659217877095,5.151079136690647,1.6392062338299538,6.0,1.6392062338299538,0,5.0,3.0
bergsieker,6,16,0.0,6.0,0.0,1,0,1,2370,139,716,0.0,0.008379888268156424,-Infinity,-Infinity,10.0,Infinity,1,0.0,4.0
red,12,16,4.0,8.0,0.25,1,1,1,2371,139,716,0.02877697841726619,0.0111731843575419,2.5755395683453237,0.9460590532700086,3.0,0.9460590532700086,0,5.0,2.0
appeal,9,16,5.0,4.0,0.3125,1,0,1,2372,139,716,0.03597122302158273,0.00558659217877095,6.438848920863309,1.8623497851441635,6.0,1.8623497851441635,0,5.0,3.0
operates,8,16,6.0,2.0,0.375,1,0,1,2373,139,716,0.04316546762589928,0.002793296089385475,15.453237410071942,2.7378185224980633,8.0,2.7378185224980633,0,6.0,3.0
relatively,13,16,6.0,7.0,0.375,1,1,1,2374,139,716,0.04316546762589928,0.009776536312849162,4.4152106885919835,1.4850555540026955,10.0,1.4850555540026955,0,5.0,4.0
joining,13,15,2.0,11.0,0.13333333333333333,1,1,1,2375,139,716,0.014388489208633094,0.015363128491620111,0.9365598430346632,-0.06554185840847133,7.0,0.06554185840847133,0,3.0,3.0
peggy,9,15,1.0,8.0,0.06666666666666667,1,0,1,2376,139,716,0.007194244604316547,0.0111731843575419,0.6438848920863309,-0.4402353078498821,5.0,0.4402353078498821,0,3.0,3.0
nuclear,9,15,4.0,5.0,0.26666666666666666,1,0,1,2377,139,716,0.02877697841726619,0.006983240223463687,4.120863309352519,1.4160626825157443,7.0,1.4160626825157443,0,5.0,3.0
reservation,7,15,1.0,6.0,0.06666666666666667,1,0,1,2378,139,716,0.007194244604316547,0.008379888268156424,0.8585131894484413,-0.15255323539810103,11.0,0.15255323539810103,0,3.0,4.0
apparently,11,15,3.0,8.0,0.2,1,1,1,2379,139,716,0.02158273381294964,0.0111731843575419,1.9316546762589928,0.6583769808182276,10.0,0.6583769808182276,0,4.0,4.0
history,11,15,5.0,6.0,0.3333333333333333,1,1,1,2380,139,716,0.03597122302158273,0.008379888268156424,4.292565947242206,1.4568846770359993,7.0,1.4568846770359993,0,5.0,3.0
anticipate,11,15,7.0,4.0,0.4666666666666667,1,1,1,2381,139,716,0.050359712230215826,0.00558659217877095,9.014388489208633,2.1988220217653764,10.0,2.1988220217653764,0,6.0,4.0
glen,12,15,5.0,7.0,0.3333333333333333,1,1,1,2382,139,716,0.03597122302158273,0.009776536312849162,3.6793422404933196,1.3027339972087408,4.0,1.3027339972087408,0,5.0,3.0
closer,11,15,5.0,6.0,0.3333333333333333,1,1,1,2383,139,716,0.03597122302158273,0.008379888268156424,4.292565947242206,1.4568846770359993,6.0,1.4568846770359993,0,5.0,3.0
anticipated,14,15,3.0,11.0,0.2,1,1,1,2384,139,716,0.02158273381294964,0.015363128491620111,1.404839764551995,0.3399232496996932,11.0,0.3399232496996932,0,4.0,4.0
jordan,8,15,1.0,7.0,0.06666666666666667,1,0,1,2385,139,716,0.007194244604316547,0.009776536312849162,0.7358684480986639,-0.30670391522535945,6.0,0.30670391522535945,0,3.0,3.0
depending,14,15,3.0,11.0,0.2,1,1,1,2386,139,716,0.02158273381294964,0.015363128491620111,1.404839764551995,0.3399232496996932,9.0,0.3399232496996932,0,4.0,3.0
angela,11,15,4.0,7.0,0.26666666666666666,1,1,1,2387,139,716,0.02877697841726619,0.009776536312849162,2.9434737923946557,1.0795904458945311,6.0,1.0795904458945311,0,5.0,3.0
responsive,6,15,3.0,3.0,0.2,1,0,1,2388,139,716,0.02158273381294964,0.004189944134078212,5.151079136690647,1.6392062338299538,10.0,1.6392062338299538,0,5.0,4.0
sometimes,10,15,2.0,8.0,0.13333333333333333,1,1,1,2389,139,716,0.014388489208633094,0.0111731843575419,1.2877697841726619,0.2529118727100632,9.0,0.2529118727100632,0,4.0,3.0
directed,5,15,2.0,3.0,0.13333333333333333,1,0,1,2390,139,716,0.014388489208633094,0.004189944134078212,3.4340527577937654,1.2337411257217896,8.0,1.2337411257217896,0,5.0,3.0
controls,10,15,7.0,3.0,0.4666666666666667,1,1,1,2391,139,716,0.050359712230215826,0.004189944134078212,12.019184652278177,2.4865040942171577,8.0,2.4865040942171577,0,6.0,3.0
interesting,14,15,5.0,9.0,0.3333333333333333,1,1,1,2392,139,716,0.03597122302158273,0.012569832402234637,2.861710631494804,1.0514195689278347,11.0,1.0514195689278347,0,5.0,4.0
exists,12,15,4.0,8.0,0.26666666666666666,1,1,1,2393,139,716,0.02877697841726619,0.0111731843575419,2.5755395683453237,0.9460590532700086,6.0,0.9460590532700086,0,5.0,3.0
listing,9,15,1.0,8.0,0.06666666666666667,1,0,1,2394,139,716,0.007194244604316547,0.0111731843575419,0.6438848920863309,-0.4402353078498821,7.0,0.4402353078498821,0,3.0,3.0
structures,12,15,3.0,9.0,0.2,1,1,1,2395,139,716,0.02158273381294964,0.012569832402234637,1.7170263788968825,0.5405939451618442,10.0,0.5405939451618442,0,4.0,4.0
affiliates,11,15,5.0,6.0,0.3333333333333333,1,1,1,2396,139,716,0.03597122302158273,0.008379888268156424,4.292565947242206,1.4568846770359993,10.0,1.4568846770359993,0,5.0,4.0
eliminate,12,15,7.0,5.0,0.4666666666666667,1,1,1,2397,139,716,0.050359712230215826,0.006983240223463687,7.211510791366907,1.9756784704511667,9.0,1.9756784704511667,0,5.0,3.0
methods,12,15,5.0,7.0,0.3333333333333333,1,1,1,2398,139,716,0.03597122302158273,0.009776536312849162,3.6793422404933196,1.3027339972087408,7.0,1.3027339972087408,0,5.0,3.0
inclusion,10,15,1.0,9.0,0.06666666666666667,1,1,1,2399,139,716,0.007194244604316547,0.012569832402234637,0.5723421262989609,-0.5580183435062654,9.0,0.5580183435062654,0,2.0,3.0
clarification,14,15,0.0,14.0,0.0,1,1,1,2400,139,716,0.0,0.019553072625698324,-Infinity,-Infinity,13.0,Infinity,1,0.0,4.0
active,11,15,3.0,8.0,0.2,1,1,1,2401,139,716,0.02158273381294964,0.0111731843575419,1.9316546762589928,0.6583769808182276,6.0,0.6583769808182276,0,4.0,3.0
diligence,7,15,0.0,7.0,0.0,1,0,1,2402,139,716,0.0,0.009776536312849162,-Infinity,-Infinity,9.0,Infinity,1,0.0,3.0
eta,3,15,1.0,2.0,0.06666666666666667,1,0,1,2403,139,716,0.007194244604316547,0.002793296089385475,2.5755395683453237,0.9460590532700086,3.0,0.9460590532700086,0,5.0,2.0
ratepayers,8,15,8.0,0.0,0.5333333333333333,1,0,1,2404,139,716,0.05755395683453238,0.0,Infinity,Infinity,10.0,Infinity,1,7.0,4.0
unbundling,4,15,1.0,3.0,0.06666666666666667,1,0,1,2405,139,716,0.007194244604316547,0.004189944134078212,1.7170263788968827,0.5405939451618442,10.0,0.5405939451618442,0,4.0,4.0
knowledge,11,15,2.0,9.0,0.13333333333333333,1,1,1,2406,139,716,0.014388489208633094,0.012569832402234637,1.1446842525979217,0.13512883705367984,9.0,0.13512883705367984,0,4.0,3.0
ronald,10,15,3.0,7.0,0.2,1,1,1,2407,139,716,0.02158273381294964,0.009776536312849162,2.2076053442959918,0.7919083734427502,6.0,0.7919083734427502,0,5.0,3.0
round,10,15,3.0,7.0,0.2,1,1,1,2408,139,716,0.02158273381294964,0.009776536312849162,2.2076053442959918,0.7919083734427502,5.0,0.7919083734427502,0,5.0,3.0
receiving,13,15,6.0,7.0,0.4,1,1,1,2409,139,716,0.04316546762589928,0.009776536312849162,4.4152106885919835,1.4850555540026955,9.0,1.4850555540026955,0,5.0,3.0
behavior,8,15,5.0,3.0,0.3333333333333333,1,0,1,2410,139,716,0.03597122302158273,0.004189944134078212,8.585131894484412,2.1500318575959447,8.0,2.1500318575959447,0,6.0,3.0
demands,13,15,7.0,6.0,0.4666666666666667,1,1,1,2411,139,716,0.050359712230215826,0.008379888268156424,6.009592326139089,1.7933569136572123,7.0,1.7933569136572123,0,5.0,3.0
sought,13,15,6.0,7.0,0.4,1,1,1,2412,139,716,0.04316546762589928,0.009776536312849162,4.4152106885919835,1.4850555540026955,6.0,1.4850555540026955,0,5.0,3.0
palmerton,7,15,4.0,3.0,0.26666666666666666,1,0,1,2413,139,716,0.02877697841726619,0.004189944134078212,6.868105515587531,1.926888306281735,9.0,1.926888306281735,0,5.0,3.0
ventures,9,15,4.0,5.0,0.26666666666666666,1,0,1,2414,139,716,0.02877697841726619,0.006983240223463687,4.120863309352519,1.4160626825157443,8.0,1.4160626825157443,0,5.0,3.0
matthew,6,15,2.0,4.0,0.13333333333333333,1,0,1,2415,139,716,0.014388489208633094,0.00558659217877095,2.5755395683453237,0.9460590532700086,7.0,0.9460590532700086,0,5.0,3.0
thermoecotek,10,15,4.0,6.0,0.26666666666666666,1,1,1,2416,139,716,0.02877697841726619,0.008379888268156424,3.4340527577937654,1.2337411257217896,12.0,1.2337411257217896,0,5.0,4.0
factors,10,15,6.0,4.0,0.4,1,1,1,2417,139,716,0.04316546762589928,0.00558659217877095,7.726618705035971,2.0446713419381184,7.0,2.0446713419381184,0,6.0,3.0
hatton,8,15,4.0,4.0,0.26666666666666666,1,0,1,2418,139,716,0.02877697841726619,0.00558659217877095,5.151079136690647,1.6392062338299538,6.0,1.6392062338299538,0,5.0,3.0
soos,8,15,4.0,4.0,0.26666666666666666,1,0,1,2419,139,716,0.02877697841726619,0.00558659217877095,5.151079136690647,1.6392062338299538,4.0,1.6392062338299538,0,5.0,3.0
68,8,15,4.0,4.0,0.26666666666666666,1,0,1,2420,139,716,0.02877697841726619,0.00558659217877095,5.151079136690647,1.6392062338299538,2.0,1.6392062338299538,0,5.0,2.0
coast,10,15,4.0,6.0,0.26666666666666666,1,1,1,2421,139,716,0.02877697841726619,0.008379888268156424,3.4340527577937654,1.2337411257217896,5.0,1.2337411257217896,0,5.0,3.0
cutting,9,15,4.0,5.0,0.26666666666666666,1,0,1,2422,139,716,0.02877697841726619,0.006983240223463687,4.120863309352519,1.4160626825157443,7.0,1.4160626825157443,0,5.0,3.0
residential,7,15,4.0,3.0,0.26666666666666666,1,0,1,2423,139,716,0.02877697841726619,0.004189944134078212,6.868105515587531,1.926888306281735,11.0,1.926888306281735,0,5.0,4.0
upenn,3,15,0.0,3.0,0.0,1,0,1,2424,139,716,0.0,0.004189944134078212,-Infinity,-Infinity,5.0,Infinity,1,0.0,3.0
equipment,9,15,5.0,4.0,0.3333333333333333,1,0,1,2425,139,716,0.03597122302158273,0.00558659217877095,6.438848920863309,1.8623497851441635,9.0,1.8623497851441635,0,5.0,3.0
otc,6,15,0.0,6.0,0.0,1,0,1,2426,139,716,0.0,0.008379888268156424,-Infinity,-Infinity,3.0,Infinity,1,0.0,2.0
respondent,2,15,0.0,2.0,0.0,1,0,1,2427,139,716,0.0,0.002793296089385475,-Infinity,-Infinity,10.0,Infinity,1,0.0,4.0
psa,5,15,0.0,5.0,0.0,1,0,1,2428,139,716,0.0,0.006983240223463687,-Infinity,-Infinity,3.0,Infinity,1,0.0,2.0
greenmountain,8,15,3.0,5.0,0.2,1,0,1,2429,139,716,0.02158273381294964,0.006983240223463687,3.090647482014389,1.1283806100639633,13.0,1.1283806100639633,0,5.0,4.0
66,8,15,4.0,4.0,0.26666666666666666,1,0,1,2430,139,716,0.02877697841726619,0.00558659217877095,5.151079136690647,1.6392062338299538,2.0,1.6392062338299538,0,5.0,2.0
fair,12,15,7.0,5.0,0.4666666666666667,1,1,1,2431,139,716,0.050359712230215826,0.006983240223463687,7.211510791366907,1.9756784704511667,4.0,1.9756784704511667,0,5.0,3.0
coulter,5,15,1.0,4.0,0.06666666666666667,1,0,1,2432,139,716,0.007194244604316547,0.00558659217877095,1.2877697841726619,0.2529118727100632,7.0,0.2529118727100632,0,4.0,3.0
br,6,15,0.0,6.0,0.0,1,0,1,2433,139,716,0.0,0.008379888268156424,-Infinity,-Infinity,2.0,Infinity,1,0.0,2.0
protected,12,15,2.0,10.0,0.13333333333333333,1,1,1,2434,139,716,0.014388489208633094,0.013966480446927373,1.0302158273381297,0.029768321395853645,9.0,0.029768321395853645,0,4.0,3.0
4th,10,15,2.0,8.0,0.13333333333333333,1,1,1,2435,139,716,0.014388489208633094,0.0111731843575419,1.2877697841726619,0.2529118727100632,3.0,0.2529118727100632,0,4.0,2.0
pages,13,15,2.0,11.0,0.13333333333333333,1,1,1,2436,139,716,0.014388489208633094,0.015363128491620111,0.9365598430346632,-0.06554185840847133,5.0,0.06554185840847133,0,3.0,3.0
incentives,6,15,6.0,0.0,0.4,1,0,1,2437,139,716,0.04316546762589928,0.0,Infinity,Infinity,10.0,Infinity,1,7.0,4.0
abu,3,15,1.0,2.0,0.06666666666666667,1,0,1,2438,139,716,0.007194244604316547,0.002793296089385475,2.5755395683453237,0.9460590532700086,3.0,0.9460590532700086,0,5.0,2.0
strategic,13,15,3.0,10.0,0.2,1,1,1,2439,139,716,0.02158273381294964,0.013966480446927373,1.5453237410071945,0.435233429504018,9.0,0.435233429504018,0,4.0,3.0
sin,6,15,0.0,6.0,0.0,1,0,1,2440,139,716,0.0,0.008379888268156424,-Infinity,-Infinity,3.0,Infinity,1,0.0,2.0
prospect,7,15,4.0,3.0,0.26666666666666666,1,0,1,2441,139,716,0.02877697841726619,0.004189944134078212,6.868105515587531,1.926888306281735,8.0,1.926888306281735,0,5.0,3.0
massey,5,15,3.0,2.0,0.2,1,0,1,2442,139,716,0.02158273381294964,0.002793296089385475,7.726618705035971,2.0446713419381184,6.0,2.0446713419381184,0,6.0,3.0
recognize,11,15,4.0,7.0,0.26666666666666666,1,1,1,2443,139,716,0.02877697841726619,0.009776536312849162,2.9434737923946557,1.0795904458945311,9.0,1.0795904458945311,0,5.0,3.0
lewis,14,15,4.0,10.0,0.26666666666666666,1,1,1,2444,139,716,0.02877697841726619,0.013966480446927373,2.0604316546762593,0.7229155019557989,5.0,0.7229155019557989,0,4.0,3.0
659,7,15,1.0,6.0,0.06666666666666667,1,0,1,2445,139,716,0.007194244604316547,0.008379888268156424,0.8585131894484413,-0.15255323539810103,3.0,0.15255323539810103,0,3.0,2.0
opposed,15,15,8.0,7.0,0.5333333333333333,1,1,1,2446,139,716,0.05755395683453238,0.009776536312849162,5.886947584789311,1.7727376264544765,7.0,1.7727376264544765,0,5.0,3.0
operated,12,15,7.0,5.0,0.4666666666666667,1,1,1,2447,139,716,0.050359712230215826,0.006983240223463687,7.211510791366907,1.9756784704511667,8.0,1.9756784704511667,0,5.0,3.0
wellhead,6,15,1.0,5.0,0.06666666666666667,1,0,1,2448,139,716,0.007194244604316547,0.006983240223463687,1.0302158273381297,0.029768321395853645,8.0,0.029768321395853645,0,4.0,3.0
1995,10,15,3.0,7.0,0.2,1,1,1,2449,139,716,0.02158273381294964,0.009776536312849162,2.2076053442959918,0.7919083734427502,4.0,0.7919083734427502,0,5.0,3.0
chart,5,15,2.0,3.0,0.13333333333333333,1,0,1,2450,139,716,0.014388489208633094,0.004189944134078212,3.4340527577937654,1.2337411257217896,5.0,1.2337411257217896,0,5.0,3.0
elsewhere,14,15,6.0,8.0,0.4,1,1,1,2451,139,716,0.04316546762589928,0.0111731843575419,3.8633093525179856,1.351524161378173,9.0,1.351524161378173,0,5.0,3.0
minute,14,15,9.0,5.0,0.6,1,1,1,2452,139,716,0.06474820143884892,0.006983240223463687,9.271942446043166,2.226992898732073,6.0,2.226992898732073,0,6.0,3.0
briggs,6,15,4.0,2.0,0.26666666666666666,1,0,1,2453,139,716,0.02877697841726619,0.002793296089385475,10.302158273381295,2.332353414389899,6.0,2.332353414389899,0,6.0,3.0
edelman,2,15,1.0,1.0,0.06666666666666667,1,0,1,2454,139,716,0.007194244604316547,0.0013966480446927375,5.151079136690647,1.6392062338299538,7.0,1.6392062338299538,0,5.0,3.0
subscriber,8,15,0.0,8.0,0.0,1,0,1,2455,139,716,0.0,0.0111731843575419,-Infinity,-Infinity,10.0,Infinity,1,0.0,4.0
negotiated,13,15,4.0,9.0,0.26666666666666666,1,1,1,2456,139,716,0.02877697841726619,0.012569832402234637,2.2893685051958435,0.8282760176136251,10.0,0.8282760176136251,0,5.0,4.0
meantime,15,15,4.0,11.0,0.26666666666666666,1,1,1,2457,139,716,0.02877697841726619,0.015363128491620111,1.8731196860693264,0.627605322151474,8.0,0.627605322151474,0,4.0,3.0
exit,6,15,2.0,4.0,0.13333333333333333,1,0,1,2458,139,716,0.014388489208633094,0.00558659217877095,2.5755395683453237,0.9460590532700086,4.0,0.9460590532700086,0,5.0,3.0
ways,14,15,6.0,8.0,0.4,1,1,1,2459,139,716,0.04316546762589928,0.0111731843575419,3.8633093525179856,1.351524161378173,4.0,1.351524161378173,0,5.0,3.0
somewhat,15,15,6.0,9.0,0.4,1,1,1,2460,139,716,0.04316546762589928,0.012569832402234637,3.434052757793765,1.2337411257217894,8.0,1.2337411257217894,0,5.0,3.0
hoffman,13,15,7.0,6.0,0.4666666666666667,1,1,1,2461,139,716,0.050359712230215826,0.008379888268156424,6.009592326139089,1.7933569136572123,7.0,1.7933569136572123,0,5.0,3.0
regulator,9,15,6.0,3.0,0.4,1,0,1,2462,139,716,0.04316546762589928,0.004189944134078212,10.302158273381295,2.332353414389899,9.0,2.332353414389899,0,6.0,3.0
allegheny,6,15,0.0,6.0,0.0,1,0,1,2463,139,716,0.0,0.008379888268156424,-Infinity,-Infinity,9.0,Infinity,1,0.0,3.0
hundl,4,15,0.0,4.0,0.0,1,0,1,2464,139,716,0.0,0.00558659217877095,-Infinity,-Infinity,5.0,Infinity,1,0.0,3.0
conditioning,7,15,5.0,2.0,0.3333333333333333,1,0,1,2465,139,716,0.03597122302158273,0.002793296089385475,12.877697841726619,2.555496965704109,12.0,2.555496965704109,0,6.0,4.0
england,10,15,4.0,6.0,0.26666666666666666,1,1,1,2466,139,716,0.02877697841726619,0.008379888268156424,3.4340527577937654,1.2337411257217896,7.0,1.2337411257217896,0,5.0,3.0
approve,13,15,6.0,7.0,0.4,1,1,1,2467,139,716,0.04316546762589928,0.009776536312849162,4.4152106885919835,1.4850555540026955,7.0,1.4850555540026955,0,5.0,3.0
uaecorp,8,15,4.0,4.0,0.26666666666666666,1,0,1,2468,139,716,0.02877697841726619,0.00558659217877095,5.151079136690647,1.6392062338299538,7.0,1.6392062338299538,0,5.0,3.0
assuming,14,15,3.0,11.0,0.2,1,1,1,2469,139,716,0.02158273381294964,0.015363128491620111,1.404839764551995,0.3399232496996932,8.0,0.3399232496996932,0,4.0,3.0
matrix,5,15,0.0,5.0,0.0,1,0,1,2470,139,716,0.0,0.006983240223463687,-Infinity,-Infinity,6.0,Infinity,1,0.0,3.0
manipulation,11,15,8.0,3.0,0.5333333333333333,1,1,1,2471,139,716,0.05755395683453238,0.004189944134078212,13.736211031175062,2.6200354868416804,12.0,2.6200354868416804,0,6.0,4.0
fill,15,15,5.0,10.0,0.3333333333333333,1,1,1,2472,139,716,0.03597122302158273,0.013966480446927373,2.5755395683453237,0.9460590532700086,4.0,0.9460590532700086,0,5.0,3.0
modified,11,15,5.0,6.0,0.3333333333333333,1,1,1,2473,139,716,0.03597122302158273,0.008379888268156424,4.292565947242206,1.4568846770359993,8.0,1.4568846770359993,0,5.0,3.0
qatar,4,15,2.0,2.0,0.13333333333333333,1,0,1,2474,139,716,0.014388489208633094,0.002793296089385475,5.151079136690647,1.6392062338299538,5.0,1.6392062338299538,0,5.0,3.0
maureen,11,15,3.0,8.0,0.2,1,1,1,2475,139,716,0.02158273381294964,0.0111731843575419,1.9316546762589928,0.6583769808182276,7.0,0.6583769808182276,0,4.0,3.0
copper,1,15,1.0,0.0,0.06666666666666667,1,0,1,2476,139,716,0.007194244604316547,0.0,Infinity,Infinity,6.0,Infinity,1,7.0,3.0
gralegal,5,15,0.0,5.0,0.0,1,0,1,2477,139,716,0.0,0.006983240223463687,-Infinity,-Infinity,8.0,Infinity,1,0.0,3.0
networks,10,15,0.0,10.0,0.0,1,1,1,2478,139,716,0.0,0.013966480446927373,-Infinity,-Infinity,8.0,Infinity,1,0.0,3.0
santa,7,15,4.0,3.0,0.26666666666666666,1,0,1,2479,139,716,0.02877697841726619,0.004189944134078212,6.868105515587531,1.926888306281735,5.0,1.926888306281735,0,5.0,3.0
andrea,10,15,2.0,8.0,0.13333333333333333,1,1,1,2480,139,716,0.014388489208633094,0.0111731843575419,1.2877697841726619,0.2529118727100632,6.0,0.2529118727100632,0,4.0,3.0
offers,8,15,5.0,3.0,0.3333333333333333,1,0,1,2481,139,716,0.03597122302158273,0.004189944134078212,8.585131894484412,2.1500318575959447,6.0,2.1500318575959447,0,6.0,3.0
uae,6,15,2.0,4.0,0.13333333333333333,1,0,1,2482,139,716,0.014388489208633094,0.00558659217877095,2.5755395683453237,0.9460590532700086,3.0,0.9460590532700086,0,5.0,2.0
worldwide,10,15,4.0,6.0,0.26666666666666666,1,1,1,2483,139,716,0.02877697841726619,0.008379888268156424,3.4340527577937654,1.2337411257217896,9.0,1.2337411257217896,0,5.0,3.0
usage,13,15,10.0,3.0,0.6666666666666666,1,1,1,2484,139,716,0.07194244604316546,0.004189944134078212,17.170263788968825,2.8431790381558897,5.0,2.8431790381558897,0,6.0,3.0
driving,10,15,7.0,3.0,0.4666666666666667,1,1,1,2485,139,716,0.050359712230215826,0.004189944134078212,12.019184652278177,2.4865040942171577,7.0,2.4865040942171577,0,6.0,3.0
30th,4,15,2.0,2.0,0.13333333333333333,1,0,1,2486,139,716,0.014388489208633094,0.002793296089385475,5.151079136690647,1.6392062338299538,4.0,1.6392062338299538,0,5.0,3.0
url,9,15,3.0,6.0,0.2,1,0,1,2487,139,716,0.02158273381294964,0.008379888268156424,2.5755395683453237,0.9460590532700086,3.0,0.9460590532700086,0,5.0,2.0
3801a,11,15,0.0,11.0,0.0,1,1,1,2488,139,716,0.0,0.015363128491620111,-Infinity,-Infinity,5.0,Infinity,1,0.0,3.0
leadership,9,15,4.0,5.0,0.26666666666666666,1,0,1,2489,139,716,0.02877697841726619,0.006983240223463687,4.120863309352519,1.4160626825157443,10.0,1.4160626825157443,0,5.0,4.0
ending,12,15,3.0,9.0,0.2,1,1,1,2490,139,716,0.02158273381294964,0.012569832402234637,1.7170263788968825,0.5405939451618442,6.0,0.5405939451618442,0,4.0,3.0
text,13,15,3.0,10.0,0.2,1,1,1,2491,139,716,0.02158273381294964,0.013966480446927373,1.5453237410071945,0.435233429504018,4.0,0.435233429504018,0,4.0,3.0
nox,4,15,2.0,2.0,0.13333333333333333,1,0,1,2492,139,716,0.014388489208633094,0.002793296089385475,5.151079136690647,1.6392062338299538,3.0,1.6392062338299538,0,5.0,2.0
teco,4,15,1.0,3.0,0.06666666666666667,1,0,1,2493,139,716,0.007194244604316547,0.004189944134078212,1.7170263788968827,0.5405939451618442,4.0,0.5405939451618442,0,4.0,3.0
newell,7,15,4.0,3.0,0.26666666666666666,1,0,1,2494,139,716,0.02877697841726619,0.004189944134078212,6.868105515587531,1.926888306281735,6.0,1.926888306281735,0,5.0,3.0
oversight,9,15,6.0,3.0,0.4,1,0,1,2495,139,716,0.04316546762589928,0.004189944134078212,10.302158273381295,2.332353414389899,9.0,2.332353414389899,0,6.0,3.0
invitation,7,15,0.0,7.0,0.0,1,0,1,2496,139,716,0.0,0.009776536312849162,-Infinity,-Infinity,10.0,Infinity,1,0.0,4.0
